PL	NAME	YEAR	TEAM	Avg. Mile	TIME	SCORE
147	McCormack, Kate	SR-4	Fordham	6:31.6	24:20.1	145
148	Henry, Chardae	JR-3	Buffalo	6:31.8	24:20.9	146
149	Huerta, Alicia	SR-4	Boston U.	6:31.8	24:21.0	147
150	Yamazaki, Erika	SR-4	Binghamton	6:31.9	24:21.4	148
151	Swanson, Kelsey	SR-4	Connecticut	6:32.2	24:22.4	149
152	Sessa, Emily	SO-2	UMass Lowell	6:32.3	24:22.8	150
153	Coletti, Samantha	JR-3	Army West Point	6:32.7	24:24.1	151
154	Fuller, Brittany	JR-3	Buffalo	6:32.7	24:24.3	152
155	O'Leary, Colette	SO-2	UMass Amherst	6:32.9	24:25.0	 
156	DiCicco, Jody	JR-3	Sacred Heart	6:33.0	24:25.5	153
157	Halloran, Michaela	FR-1	Holy Cross	6:33.2	24:26.2	154
158	Kattman, Gaelyn	FR-1	Sacred Heart	6:33.3	24:26.3	155
159	Hurley, Alexina	FR-1	UMass Amherst	6:33.6	24:27.4	 
160	Pellegrini, Carolyn	JR-3	Siena	6:33.6	24:27.7	156
161	Leighton, Jane	FR-1	Vermont	6:35.5	24:34.5	157
162	Songer, Ellie	JR-3	Quinnipiac	6:35.6	24:35.1	158
163	Pacheco, Shaelyn	SO-2	Quinnipiac	6:35.7	24:35.3	159
164	Lord, Arianna	JR-3	Yale	6:36.2	24:37.2	160
165	Bergen, Kaylee	SR-4	Fairfield	6:36.3	24:37.6	161
166	Gihorski, Kate	FR-1	Quinnipiac	6:36.8	24:39.4	162
167	Iocca, Kelly	SO-2	Albany	6:37.1	24:40.5	163
168	Barrett, Tessa	SR-4	Providence	6:37.3	24:41.5	164
169	Pierce, Bailey	FR-1	Canisius	6:37.4	24:41.6	165
170	Jones, Riley	FR-1	Buffalo	6:37.7	24:42.8	166
171	Peer, Chloe	SO-2	Binghamton	6:37.9	24:43.7	167
172	Ocker, Coco	JR-3	Boston U.	6:38.2	24:44.8	168
