"  237    68    68  Lindsey Oremus, Sr            67    11:39     22:36    6:03  St. Joseph's (Pa )   "
"   25    69    69  Roxanne Ramirez, Jr           70    11:40     22:40    6:05  Delaware             "
"  211    70    70  Hannah Dorian, Sr             52    11:35     22:41    6:05  Saint Francis U      "
"  196    71    71  Peri Pavicic, Jr              47    11:35     22:42    6:05  Rider                "
"  155    72    72  Melissa Tanaka, So            75    11:41     22:43    6:05  Penn                 "
"  104    73    73  Kathryn Gearhart, Jr          44    11:33     22:44    6:06  Maryland             "
"   85    74    74  Jade Sessions, Fr             91    11:52     22:45    6:06  Lehigh               "
"  129    75    75  Madeline Kole, Jr             74    11:40     22:46    6:06  Mount St. Mary's     "
"   37    76    76  Halley Brown, Sr              78    11:43     22:47    6:06  George Washington    "
"   75    77    77  Nicole Abbondandelo, Fr       92    11:52     22:47    6:06  Lehigh               "
"  172    78    78  Erin Keelan, Sr               68    11:39     22:47    6:06  Pittsburgh           "
"  255    79    79  Erica Israel, Jr              93    11:53     22:48    6:07  Towson               "
"  179    80    80  Makenzie Zeh, Sr              48    11:35     22:49    6:07  Pittsburgh           "
"   14    81    81  Lauren Gronbeck, Jr           81    11:46     22:49    6:07  Bucknell             "
"   36    82    82  Ava Pietrzyk, So              82    11:46     22:49    6:07  Duquesne             "
"   53    83    83  Meg Mathison, Jr             117    12:01     22:50    6:07  Georgetown           "
"   38    84    84  Margaret Coogan, So          103    11:56     22:53    6:08  George Washington    "
"  243    85    85  Lucy Jones, So                43    11:32     22:54    6:08  Temple               "
"  256    86    86  Olivia Janke, Fr              77    11:43     22:54    6:08  Towson               "
"    2    87    87  Brianna Belo, Sr             124    12:04     22:55    6:08  American             "
"   59    88    88  Eleanor Mancini, Fr           86    11:48     22:56    6:09  La Salle             "
"  176    89    89  Gillian Schriever, Sr         49    11:35     22:56    6:09  Pittsburgh           "
"  161    90    90  Noemie Noullet, Sr           132    12:07     22:57    6:09  Penn State           "
"  175    91    91  Miranda Salvo, Sr             64    11:37     22:58    6:09  Pittsburgh           "
"   21    92    92  Mackenzie Jones, Jr           90    11:52     22:58    6:09  Delaware             "
"  150    93    93  Alyssa Condell, So            94    11:53     22:59    6:10  Penn                 "
"  234    94    94  Elaine Estes, Sr             100    11:54     23:02    6:10  St. Joseph's (Pa )   "
"  204    95    95  Lou Mialhe, Jr               101    11:55     23:02    6:10  Rutgers              "
"  213    96    96  Catherine Jaskowak, Jr       134    12:08     23:03    6:11  Saint Francis U      "
"   73    97    97  Autumn Sands, Fr             120    12:02     23:03    6:11  Lafayette            "
"  203    98    98  Stephanie Mauer, Jr          109    11:57     23:04    6:11  Rutgers              "
"   77    99    99  Hannah Bonaguidi, Jr         106    11:57     23:05    6:11  Lehigh               "
"    7   100   100  Arianna Lopez, Jr            125    12:04     23:06    6:11  American             "
"   79   101   101  Ashleigh Crawford, Jr         97    11:53     23:06    6:12  Lehigh               "
"  239   102   102  Emily Schaeffer, Jr           88    11:49     23:08    6:12  St. Joseph's (Pa )   "
  131   103   103  Emily Craig                   99    11:54     23:08    6:12  Navy                 
"  263   104   104  Kelsey Ponton, Sr             87    11:48     23:09    6:12  Umbc                 "
"  254   105   105  Abby Gauthier, Sr            115    12:00     23:09    6:12  Towson               "
"  236   106   106  Lucy Harmon, Sr              119    12:02     23:11    6:13  St. Joseph's (Pa )   "
"   40   107   107  Kathryn Nohilly, Fr           96    11:53     23:12    6:13  George Washington    "
"   35   108   108  Morgan Perkins, Jr           123    12:04     23:12    6:13  Duquesne             "
"   84   109   109  Martina Sell, Fr             113    11:58     23:13    6:13  Lehigh               "
"   27   110   110  Susanna Weir, So              84    11:48     23:14    6:14  Delaware             "
"   63   111   111  Lexi Sciortino, So           121    12:03     23:15    6:14  La Salle             "
"  214   112   112  Hannah Jones, So             135    12:08     23:16    6:14  Saint Francis U      "
"   43   113   113  Madison Yerke, Sr             98    11:54     23:17    6:14  George Washington    "
"  169   114   114  Emily Burd, So               102    11:55     23:20    6:15  Pittsburgh           "
  133   115   115  Karla Mendoza                104    11:56     23:20    6:15  Navy                 
"  132   116   116  Rachel Fairbanks, Sr         114    12:00     23:21    6:15  Navy                 "
"   18   117   117  Jeanette Bendolph, Sr        129    12:07     23:21    6:15  Delaware             "
"   58   118   118  Deirdre Gilmore, So          108    11:57     23:22    6:16  La Salle             "
"   50   119   119  Kayla Grahn, Jr               95    11:53     23:23    6:16  Georgetown           "
"  197   120   120  Teagan Schein-Becker, Fr     112    11:58     23:24    6:16  Rider                "
"   67   121   121  Caroline Harmon, Sr          110    11:57     23:25    6:16  Lafayette            "
  134   122   122  Caitlin Schmitt              118    12:02     23:26    6:17  Navy                 
"   29   123   123  Tessa Franchi, So            111    11:58     23:26    6:17  Duquesne             "
"  232   124   124  Emily Bracken, Jr             85    11:48     23:27    6:17  St. Joseph's (Pa )   "
"   56   125   125  Megan Connell, Sr             89    11:49     23:27    6:17  La Salle             "
"   62   126   126  Allana Powlette, So          128    12:07     23:28    6:17  La Salle             "
"   24   127   127  Emily Paolucci, Sr           133    12:08     23:28    6:17  Delaware             "
"  111   128        Mercy Chemutai, Fr           105    11:57     23:30    6:18  Maryland-Eastern Shor "
"  253   129   128  Shelby Bobbie, Sr            127    12:06     23:31    6:18  Towson               "
  130   130   129  Caroline Ascherl             130    12:07     23:31    6:18  Navy                 
"   54   131   130  Katherine Modrall, Fr         62    11:37     23:31    6:18  Georgetown           "
"  116   132   131  Dayna Luma, Jr               131    12:07     23:32    6:18  Monmouth             "
"   32   133   132  Tori Kocsis, Fr              136    12:09     23:35    6:19  Duquesne             "
"  219   134   133  Madison Wright, So           116    12:01     23:37    6:20  Saint Francis U      "
"    4   135   134  Clare Hernandez, Fr          160    12:25     23:43    6:21  American             "
"   87   136   135  Kayleigh Caggiano, Jr        154    12:23     23:45    6:22  Loyola (Md )         "
  225   137   136  Emily Hernandez              146    12:19     23:47    6:22  Seton Hall           
"  200   138   137  Emma Bergman, Jr             138    12:14     23:49    6:23  Rutgers              "
"  217   139   138  Hannah Weber, Sr             165    12:28     23:49    6:23  Saint Francis U      "
  230   140   139  Kassandra Yocco              137    12:13     23:49    6:23  Seton Hall           
"  102   141   140  Molly Barrick, So            142    12:16     23:50    6:23  Maryland             "
"  210   142   141  Shannon Cody, Fr             162    12:27     23:50    6:23  Saint Francis U      "
  220   143   142  Kiley Britten                170    12:32     23:51    6:24  Seton Hall           
"   88   144   143  Christina Daniels, Sr        159    12:25     23:52    6:24  Loyola (Md )         "
"  128   145   144  Ashleigh Kocher, Sr          144    12:18     23:52    6:24  Mount St. Mary's     "
"    9   146   145  Nora Bennett, Fr             139    12:15     23:55    6:24  Bucknell             "
"  101   147   146  Caroline Augelli, Jr         141    12:16     23:55    6:25  Maryland             "
"   66   148   147  Gabi Galletta, So            169    12:31     23:55    6:25  Lafayette            "
"   69   149   148  Ainsley Jacobs, So           164    12:28     23:57    6:25  Lafayette            "
"   31   150   149  Brooke Hutton, Fr            147    12:20     24:00    6:26  Duquesne             "
"  115   151   150  Megan Lindstrom, Sr          158    12:24     24:03    6:27  Monmouth             "
"   93   152   151  Mary Sutton, Sr              156    12:24     24:04    6:27  Loyola (Md )         "
"   42   153   152  Kelli Stetson, Sr            149    12:21     24:04    6:27  George Washington    "
"  238   154   153  Sara Rankin, Sr              151    12:22     24:05    6:27  St. Joseph's (Pa )   "
"  201   155   154  Kaitlyn Bragen, So           145    12:18     24:05    6:27  Rutgers              "
"  125   156   155  Clarke Hooper, Sr            161    12:26     24:05    6:27  Mount St. Mary's     "
  226   157   156  Olivia Hernandez             171    12:34     24:06    6:27  Seton Hall           
"   90   158   157  Audrey O'Neill, Jr           175    12:36     24:06    6:28  Loyola (Md )         "
"   97   159   158  Madelyn Garrison, Fr         174    12:36     24:07    6:28  Marshall             "
