Race,Place,Bib Number,Name,School,1k,2k,3k,4k,5k,Finish,Total Time,Pace
Great Lakes Regional,157,75,Maggie Breitenstein (FR),Cincinnati (CINC),3:33,3:50,4:02,3:58,3:59,3:54,23:17.8,6:15
Great Lakes Regional,158,22,Emmalyne Tarsa (SO),Ball State (BALL),3:26,3:45,4:01,3:58,4:03,4:02,23:18.2,6:15
Great Lakes Regional,159,544,Jennifer Muhlenkamp (SR),Youngstown St. (YSU),3:31,3:49,4:01,3:56,4:02,3:56,23:18.7,6:15
Great Lakes Regional,160,234,Amy Gasperlin (JR),Marquette (MARQ),3:31,3:52,4:03,3:59,4:02,3:50,23:19.1,6:15
Great Lakes Regional,161,408,Hannah Aschliman (SR),Purdue Fort Wayne (PFW),3:32,3:51,3:59,3:56,4:00,3:58,23:19.5,6:15
Great Lakes Regional,162,564,Megan Safranski,Wis.-Milwaukee (MILW),3:24,3:45,4:00,4:01,4:06,4:01,23:19.6,6:15
Great Lakes Regional,163,76,Ellee Bullock (FR),Cincinnati (CINC),3:32,3:48,3:59,3:55,3:59,4:04,23:20.3,6:15
Great Lakes Regional,164,508,Abigail Halsey (SO),Wright State (WRST),3:33,3:53,4:03,3:57,3:56,3:57,23:21.8,6:16
Great Lakes Regional,165,201,Michaela Ward (JR),Indiana State (INST),3:22,3:38,4:02,4:00,4:11,4:06,23:22.0,6:16
Great Lakes Regional,166,23,Lauren Whitehouse (JR),Ball State (BALL),3:28,3:51,4:04,3:55,4:04,3:57,23:22.0,6:16
Great Lakes Regional,167,459,Courtney Allen (SO),Western Michigan (WMU),3:21,3:51,4:09,3:59,4:04,3:55,23:22.9,6:16
Great Lakes Regional,168,237,Nora Keller (SR),Marquette (MARQ),3:31,3:51,4:04,3:57,4:01,3:58,23:24.0,6:17
Great Lakes Regional,169,545,Mackenzie Scott (FR),Youngstown St. (YSU),3:30,3:45,4:00,4:02,4:03,4:01,23:24.2,6:17
Great Lakes Regional,170,6,Ashley Murray (SR),Akron (AKR),3:27,3:46,4:01,3:59,4:01,4:08,23:25.0,6:17
Great Lakes Regional,171,128,Veronica Towianski (SR),Detroit Mercy (DETM),3:33,3:50,4:02,3:54,4:03,4:02,23:27.6,6:17
Great Lakes Regional,172,59,Samantha Allmacher (SR),Central Michigan (CMU),3:35,3:49,3:59,3:53,4:01,4:09,23:28.8,6:18
Great Lakes Regional,173,353,Madelyn Bartolone (FR),Ohio (OHIO),3:37,3:54,4:05,3:58,4:01,3:57,23:35.5,6:20
Great Lakes Regional,174,232,Mary Rose Flood (FR),Marquette (MARQ),3:31,3:52,4:03,4:00,4:08,4:00,23:37.5,6:20
Great Lakes Regional,175,359,Melissa Koziol (JR),Ohio (OHIO),3:30,3:43,3:57,4:05,4:08,4:11,23:38.0,6:20
Great Lakes Regional,176,124,Kayla Hughes (JR),Detroit Mercy (DETM),3:33,3:50,4:02,3:58,4:03,4:09,23:38.4,6:20
Great Lakes Regional,177,216,Amairany Cruz (SR),Iupui (IUPU),3:29,3:48,4:05,3:59,4:11,4:05,23:39.8,6:21
Great Lakes Regional,178,358,Tiffany Hill (JR),Ohio (OHIO),3:35,3:52,4:02,4:04,4:02,4:05,23:42.1,6:21
Great Lakes Regional,179,25,Allison Holahan (SO),Bowling Green (BGSU),3:29,3:50,4:03,4:00,4:09,4:08,23:42.6,6:21
Great Lakes Regional,180,541,Natalie Fleming (SO),Youngstown St. (YSU),3:30,3:46,4:02,4:00,4:10,4:12,23:43.0,6:22
Great Lakes Regional,181,342,Macy Gustavus (JR),Oakland (OAKL),3:32,3:49,4:04,3:54,4:08,4:17,23:45.9,6:22
Great Lakes Regional,182,21,Meliza Rodriguez (JR),Ball State (BALL),3:22,3:48,4:09,4:06,4:10,4:13,23:49.7,6:23
Great Lakes Regional,183,357,Emily Deering (SR),Ohio (OHIO),3:31,3:57,4:09,4:05,4:08,3:56,23:50.6,6:24
Great Lakes Regional,184,194,Tara Cassidy (FR),Indiana State (INST),3:29,3:54,4:11,4:04,4:11,4:00,23:52.7,6:24
Great Lakes Regional,185,220,Janine Orvis (SO),Iupui (IUPU),3:30,3:53,4:07,4:04,4:08,4:11,23:55.3,6:25
Great Lakes Regional,186,82,Samantha Mikula (SO),Cincinnati (CINC),3:25,3:40,3:48,3:56,4:33,4:32,23:57.5,6:25
Great Lakes Regional,187,340,Bailey Cronin (SO),Oakland (OAKL),3:31,3:52,4:04,4:05,4:10,4:12,23:57.9,6:25
Great Lakes Regional,188,414,Rebecca Sippel (SR),Purdue Fort Wayne (PFW),3:33,3:57,4:14,4:04,4:04,4:04,23:58.9,6:26
Great Lakes Regional,189,411,Sophia Hirzel (SO),Purdue Fort Wayne (PFW),3:35,3:57,4:13,4:06,4:09,4:05,24:07.6,6:28
Great Lakes Regional,190,32,Allie Zofkie (FR),Bowling Green (BGSU),3:30,3:52,4:09,4:08,4:11,4:17,24:09.2,6:29
Great Lakes Regional,191,103,Kylie Scott (SO),Cleveland St. (CLST),3:29,3:54,4:13,4:09,4:11,4:11,24:10.5,6:29
Great Lakes Regional,192,213,Jessica Backherms (JR),Iupui (IUPU),3:27,3:49,4:12,4:15,4:16,4:11,24:12.2,6:29
Great Lakes Regional,193,156,Ashton Bosler (SR),Evansville (EVAN),3:41,4:05,4:17,4:08,4:05,4:01,24:19.9,6:31
